"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl1Sort","EigentuemerSSZPubl1Cd","EigentuemerSSZPubl1Lang","AnzNeubauWhg_noDM","AnzAbbruchWhg_noDM"
2010,"D",12,"01302","Münsterhof",13,"013","Lindenhof",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",,
2010,"D",16,"01402","Sihlporte",14,"014","City",1,"1","Kreis 1",1,"1","Öffentliche Hand",,
2010,"D",18,"01404","Paradeplatz",14,"014","City",1,"1","Kreis 1",3,"3","Übrige private Gesellschaften",0,
2010,"D",21,"02101","Bahnhof Wollishofen",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",,
2010,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",,2
2010,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",,
2010,"D",22,"02102","Bellariastrasse",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",9,
2010,"D",23,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",,8
2010,"D",23,"02103","Muggenbühl",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",,1
2010,"D",24,"02104","Morgental",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",45,
2010,"D",27,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",0,
2010,"D",27,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2",5,"5","Im Stockwerkeigentum",,
2010,"D",28,"02108","Kalchbühl",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","Öffentliche Hand",0,
2010,"D",28,"02108","Kalchbühl",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",10,
2010,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",,
2010,"D",30,"02110","Verenastrasse",21,"021","Wollishofen",2,"2","Kreis 2",4,"4","Natürliche Personen",2,
2010,"D",34,"02301","Höckler",23,"023","Leimbach",2,"2","Kreis 2",4,"4","Natürliche Personen",,1
2010,"D",35,"02302","Marbachweg",23,"023","Leimbach",2,"2","Kreis 2",2,"2","Wohnbaugenossenschaften",36,22
2010,"D",38,"02401","Parkring",24,"024","Enge",2,"2","Kreis 2",3,"3","Übrige private Gesellschaften",,
2010,"D",38,"02401","Parkring",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",,1
2010,"D",41,"02404","Museum Rietberg",24,"024","Enge",2,"2","Kreis 2",1,"1","Öffentliche Hand",,
2010,"D",42,"02405","Rieterplatz",24,"024","Enge",2,"2","Kreis 2",4,"4","Natürliche Personen",,4
2010,"D",47,"03101","Höfliweg",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",22,6
2010,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",4,"4","Natürliche Personen",23,
2010,"D",51,"03105","Binz",31,"031","Alt-Wiedikon",3,"3","Kreis 3",5,"5","Im Stockwerkeigentum",28,
2010,"D",52,"03106","Saalsporthalle",31,"031","Alt-Wiedikon",3,"3","Kreis 3",3,"3","Übrige private Gesellschaften",,7
2010,"D",52,"03106","Saalsporthalle",31,"031","Alt-Wiedikon",3,"3","Kreis 3",5,"5","Im Stockwerkeigentum",51,
2010,"D",56,"03303","Uetliberg",33,"033","Friesenberg",3,"3","Kreis 3",2,"2","Wohnbaugenossenschaften",,30
2010,"D",58,"03305","Albisgüetli",33,"033","Friesenberg",3,"3","Kreis 3",4,"4","Natürliche Personen",,1
