"StichtagDatJahr","DatenstandCd","StatZoneSort","StatZoneCd","StatZoneLang","QuarSort","QuarCd","QuarLang","KreisSort","KreisCd","KreisLang","EigentuemerSSZPubl3Sort_noDM","EigentuemerSSZPubl3Cd_noDM","EigentuemerSSZPubl3Lang_noDM","GebaeudeMitWohnungSort_noDM","GebaeudeMitWohnungCd_noDM","GebaeudeMitWohnungLang_noDM","AnzGbd","AnzWhgStat","Wohnflaeche","AnzBestWir"
2008,"D",27,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",47,0,0,20
2008,"D",27,"02107","Auf der Egg",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",109,462,39491,902
2008,"D",28,"02108","Kalchbühl",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",38,0,0,54
2008,"D",28,"02108","Kalchbühl",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",165,582,36287,970
2008,"D",28,"02108","Kalchbühl",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",58,0,0,61
2008,"D",28,"02108","Kalchbühl",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",163,1141,78379,1804
2008,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",35,0,0,273
2008,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",183,1048,78898,2113
2008,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",50,0,0,2
2008,"D",29,"02109","Entlisberg",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",124,695,50543,1140
2008,"D",30,"02110","Verenastrasse",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",13,0,0,3
2008,"D",30,"02110","Verenastrasse",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",47,136,9700,258
2008,"D",30,"02110","Verenastrasse",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",49,0,0,5
2008,"D",30,"02110","Verenastrasse",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",1,"1","Ja",177,436,39216,766
2008,"D",31,"02111","Seeblickstrasse",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",0,"0","Nein",13,0,0,0
2008,"D",31,"02111","Seeblickstrasse",21,"021","Wollishofen",2,"2","Kreis 2",1,"1","städtisch/genossenschaftlich",1,"1","Ja",5,18,1498,45
2008,"D",31,"02111","Seeblickstrasse",21,"021","Wollishofen",2,"2","Kreis 2",3,"2","andere",0,"0","Nein",56,0,0,0
